"SamAccountName","Name","Enabled","Description","DistinguishedName"
"amorgan","Alex Morgan","True","IT Support Specialist","CN=Alex Morgan,OU=IT,OU=Users,OU=Northstar,DC=corp,DC=com"
"dnguyen","David Nguyen","True","Teacher","CN=David Nguyen,OU=Teachers,OU=Users,OU=Northstar,DC=corp,DC=com"
"ecarter","Emily Carter","True","Principal","CN=Emily Carter,OU=Administration,OU=Users,OU=Northstar,DC=corp,DC=com"
"former.teacher","Former Teacher","False","Disabled former employee test account","CN=Former Teacher,OU=Disabled Users,OU=Users,OU=Northstar,DC=corp,DC=com"
"jlee","Jordan Lee","True","IT Administrator","CN=Jordan Lee,OU=IT,OU=Users,OU=Northstar,DC=corp,DC=com"
"khall","Kevin Hall","True","Teacher","CN=Kevin Hall,OU=Teachers,OU=Users,OU=Northstar,DC=corp,DC=com"
"lhernandez","Lisa Hernandez","True","Registrar","CN=Lisa Hernandez,OU=Administration,OU=Users,OU=Northstar,DC=corp,DC=com"
"mturner","Marcus Turner","True","School Counselor","CN=Marcus Turner,OU=Administration,OU=Users,OU=Northstar,DC=corp,DC=com"
"sbrooks","Sarah Brooks","True","Teacher","CN=Sarah Brooks,OU=Teachers,OU=Users,OU=Northstar,DC=corp,DC=com"
"student1001","Taylor Adams","True","Student","CN=Taylor Adams,OU=Students,OU=Users,OU=Northstar,DC=corp,DC=com"
"student1002","Cameron Reed","True","Student","CN=Cameron Reed,OU=Students,OU=Users,OU=Northstar,DC=corp,DC=com"
"student1003","Riley Lewis","True","Student","CN=Riley Lewis,OU=Students,OU=Users,OU=Northstar,DC=corp,DC=com"
"student1004","Jordan Price","True","Student","CN=Jordan Price,OU=Students,OU=Users,OU=Northstar,DC=corp,DC=com"
"student1005","Avery Scott","True","Student","CN=Avery Scott,OU=Students,OU=Users,OU=Northstar,DC=corp,DC=com"
"svc_wazuh","Wazuh Service","True","Simulated Wazuh service account","CN=Wazuh Service,OU=Service Accounts,OU=Users,OU=Northstar,DC=corp,DC=com"
